,TEAM_ID,TEAM_CITY
0,1610612737,Atlanta
1,1610612738,Boston
2,1610612739,Cleveland
3,1610612740,New Orleans
4,1610612741,Chicago
5,1610612742,Dallas
6,1610612743,Denver
7,1610612744,Golden State
8,1610612745,Houston
9,1610612746,LA
10,1610612747,Los Angeles
11,1610612748,Miami
12,1610612749,Milwaukee
13,1610612750,Minnesota
14,1610612751,Brooklyn
15,1610612752,New York
16,1610612753,Orlando
17,1610612754,Indiana
18,1610612755,Philadelphia
19,1610612756,Phoenix
20,1610612757,Portland
21,1610612758,Sacramento
22,1610612759,San Antonio
23,1610612760,Oklahoma City
24,1610612761,Toronto
25,1610612762,Utah
26,1610612763,Memphis
27,1610612764,Washington
28,1610612765,Detroit
29,1610612766,Charlotte
